model,count
SLK-Class SLK 350,201
XT5 Luxury,200
R1S Launch Edition,200
Pathfinder S,200
135 i,199
Thunderbird Deluxe,199
E-Class E 400,199
ProMaster 2500 High Roof,199
Navigator Base,197
Mustang V6 Premium,196
Continental GT Base,196
Rover Range Rover P530 SE SWB,196
A3 2.0T Tech Premium,195
A4 2.0T Premium quattro,195
Colorado ZR2,195
SQ5 3.0T Prestige,195
CX-9 Grand Touring,195
Ram 1500 Laramie Mega Cab,194
Durango SRT 392,194
Sky Red Line,194
Tacoma SR5,194
Cayenne Platinum Edition,193
GR86 Premium,193
4Runner Trail,192
370Z Touring,190
Navigator L Reserve,190
Silverado 1500 LTZ,190
Challenger R/T,190
Corolla LE,189
Santa Fe SE,189
Escalade Platinum,188
Stinger GT2,188
C-Class C300 4MATIC,188
1500 Tradesman/Express,187
Escalade Luxury,187
530 i xDrive,186
325 i,186
Sierra 1500 Denali Ultimate,186
WRX Base,186
Civic Sport,184
Mustang Shelby GT500,184
M440 i xDrive,184
911 Carrera C2S,184
Escalade Premium Luxury,184
CTS Performance,183
Grand Cherokee Laredo,182
Acadia SLE,181
AMG E 53 Base 4MATIC,181
G70 2.0T,180
TLX Type S w/Performance Tire,179
AMG C 43 AMG C 43 4MATIC,179
MDX w/Technology Package,178
G70 3.3T Advanced,178
2500 SLT,178
330 i,178
Escape XLT,177
Escalade ESV Base,177
X1 xDrive28i,177
Bronco Outer Banks,176
Acadia SLE-2,176
Tundra Limited,176
Panamera Edition,176
E-Class E 400 4MATIC,175
QX80 SENSORY,175
911 Carrera GTS,175
Santa Fe SEL,175
A7 3.0T Prestige,173
Impreza 2.0i Premium,173
Camry Solara SLE,172
Mazda3 i Touring,172
Camry LE,172
300 S,172
Sierra 1500 SLE Crew Cab,171
Charger R/T,171
Firebird Base,171
ILX Premium Package,171
LS 430 Base,171
Q7 3.0T Prestige,171
A-Class A 220 4MATIC,170
Corvette Grand Sport,170
Model X Base,170
Sorento SXL,170
F-150 Lightning XLT,169
Camry XLE,169
Q7 3.0T Premium Plus,169
Colorado Z71,169
A4 2.0T Premium Plus,169
GV70 2.5T,168
Taycan Base,168
Wrangler X,168
Romeo Giulia Quadrifoglio,168
Shelby GT500 Base,168
CR-V EX,167
Q8 3.0T Prestige,166
Genesis Coupe 3.8 Base,166
1500 SLT,165
Mazda6 Touring,165
CTS Base,164
Town & Country Touring-L,164
Cayenne GTS,163
GX 460 Luxury,163
SL-Class SL63 AMG Roadster,163
Versa 1.8 S,163
Camry Hybrid XLE,162
S3 2.0T Premium Plus,162
Bentayga V8,162
435 Gran Coupe i,161
Romeo Giulia Base,161
R8 5.2 V10 plus,160
Bentayga Onyx Edition,160
RS 7 4.0T quattro,160
XC90 T6 Momentum,160
R8 5.2 V10,160
A6 55 Premium Plus,159
Rover Defender S,159
G90 5.0 Ultimate,159
Nautilus Reserve,159
Edge Titanium,159
Mustang Base,159
Sonata SE,159
Shelby GT350 Base,158
LS 460 Crafted Line,158
AMG GLE 63 S Coupe 4MATIC,158
Suburban RST,157
E350 Super Duty XLT,157
M340 i xDrive,157
X5 PHEV xDrive45e,156
Sprinter 2500,156
M3 Competition,156
Camry Hybrid Base,155
Panamera 4S,154
Golf R 4-Door w/DCC & Navigation,154
Bentayga Azure First Edition,154
RSX Type S,154
Suburban Z71,154
Highlander SE,154
Explorer Platinum,153
Cayenne Diesel,153
Armada LE,153
A7 55 Premium Plus,153
Tucson SE,152
M2 Competition,151
WRX STI Base,151
GLE 350 GLE 350,150
ILX Technology Plus Package,150
Bronco Sport Outer Banks,150
Tundra Platinum,149
Highlander Limited Platinum,149
Express 2500 Work Van,149
Liberty Limited,148
X5 M Base,148
AMG C AMG C 63 S,148
Q50 Premium,148
Taurus SHO,147
ATS 2.5L Luxury,146
Taycan Turbo,146
QX70 Base,145
Armada SL,144
C-Class C 63 AMG,144
G80 3.8,144
Silverado 3500 LTZ,144
CX-9 Touring Plus,144
Bronco Sport Big Bend,144
A6 2.0T Sport,143
AMG GLE 53 AMG GLE 53,143
Expedition XLT,143
Sierra 2500 AT4,143
TLX A-Spec,142
SC 430 Base,142
Edge Sport,142
Sorento LX V6,141
Compass Sport,141
Q50 3.0t Red Sport 400,141
Model 3 Performance,141
Ridgeline RTL-E,141
Sorento SX Prestige,140
Model X Performance,139
Cayenne GTS Coupe AWD,139
Excursion Limited Ultimate,139
TT 2.0T,139
SL-Class SL600 Roadster,139
TL Technology,138
Hardtop Cooper S,138
Charger Scat Pack,138
3500 Laramie,138
Sprinter High Roof,137
Rover Discovery SE,137
Golf GTI 2.0T Autobahn 4-Door,137
Rover Discovery HSE,137
Impreza 2.0i,137
Escape SE,136
Traverse RS,136
Mustang Mach-E Premium,136
Bentayga Speed,136
Dakota Sport,135
Macan Turbo,135
GV80 2.5T,135
Continental GT V8,135
CTS-V Base,135
Escalade EXT Base,134
Roma Base,133
M-Class ML 350 4MATIC,133
F-250 XLT SuperCab Super Duty,133
Telluride S,133
RAV4 Base,132
AMG GT AMG GT S,131
Z4 sDrive28i,131
Wrangler Rubicon,131
Sportage Nightfall,130
Rover Range Rover Velar SVAutobiography Dynamic Edition,130
ATS 2.5L,130
Palisade SEL,130
Titan XD SV,130
Accord EX-L,130
Jetta GLX VR6,129
Continental GT Speed,128
MX-5 Miata Grand Touring,128
Cayenne Turbo GT,128
Aventador SVJ Base,128
Panamera Base,127
MKZ Select,127
Q3 45 S line Premium Plus,127
CTS 3.6L Premium Luxury,127
GLS 550 Base 4MATIC,127
Altima 2.5 S,127
M240 i xDrive,126
300C Base,126
RS Q8 4.0T quattro,125
330e iPerformance,125
Equus Signature,125
F-150 Lightning LARIAT,125
Avalon XLS,124
Ranger XLT SuperCab,124
Cayman S,124
Sierra 1500 Denali,124
XK8 Base,124
Cruze LTZ,122
Ram 2500 Laramie Quad Cab,122
325 Ci,122
Continental GTC Base,120
GS 350 Base,120
GL-Class GL 550 4MATIC,120
Rover Range Rover Autobiography,120
Malibu 1LT,120
AMG GLC 43 AMG GLC 43,119
Expedition EL King Ranch,119
CLS-Class CLS 550,119
RC F Base,119
Jetta 1.4T SE,119
Challenger SRT8,119
AMG G AMG G 63 4MATIC,118
C70 T5,118
Tacoma TRD Pro,118
Panamera GTS,118
SLC 300 Base,117
Silverado 2500 LT,117
Fusion Hybrid SE Hybrid,117
F-150 Lariat SuperCrew,117
Altima 2.5 SL,117
Terrain SLT,117
M2 Base,117
GLK-Class GLK 350,116
MDX Sport,116
Rover Range Rover Velar R-Dynamic S,116
Suburban High Country,116
CT 200h Premium,115
Express 1500 Work Van,115
718 Boxster S,115
Durango R/T,115
F-150 Tremor,115
528 i,113
Rover Range Rover 5.0L Supercharged,113
G 550 4x4 Squared Base,112
GTC4Lusso T,112
Wagoneer Series III,112
AMG S 63 Base 4MATIC,112
SLK-Class SLK320,112
IS 350 F Sport,111
Rover Range Rover Sport 5.0L Supercharged Dynamic,111
S6 4.0T,110
A7 55 Premium,110
718 Cayman GT4,110
911 R,110
Silverado 2500 WT,110
1500 Longhorn,109
Xterra Pro-4X,109
Outback Limited XT,109
Huracan LP580-2S,109
Rover Range Rover Evoque Base,109
Wrangler Unlimited 4xe Sahara,109
Grand Wagoneer Series III,108
Dart SE,108
428 Gran Coupe i xDrive,107
4Runner TRD Pro,107
CC 2.0T Sport,107
S3 2.0T Tech Premium Plus,106
M760 i xDrive,106
Excursion Limited 4WD,106
Corvette Z06 w/2LZ,106
A6 55 Prestige,106
Q50 3.0t Signature Edition,106
Quattroporte Base,106
R8 5.2 V10 performance,106
Focus ST Base,106
Crosstrek 2.0i Limited,105
911 Carrera 4S Cabriolet,105
Martin DBS Superleggera,104
Sequoia TRD Pro,104
ProMaster 3500 High Roof,104
S6 4.0T Prestige,104
Q7 45 Premium Plus,104
Avalon XLE,104
Camaro LT1,104
Supra 3.0 Premium,104
Rover Range Rover Supercharged,103
AMG GLC 63 Base 4MATIC,103
Rover Range Rover Westminster SWB,103
Mazda3 s Sport,103
RS 5 2.9T,103
MKC Base,103
Impala 1LT,103
Cayenne E-Hybrid S Platinum Edition,102
CX-7 Grand Touring,102
NX 200t Base,102
RDX w/Advance Package,102
720S Performance,102
Escalade Premium,102
S8 4.0T quattro,102
Rover Range Rover Evoque HSE Dynamic,102
RX 300 4WD,101
Avalon Touring,101
Panamera 4 Edition,101
CX-30 Base,101
SSR Base,101
XC60 T6 Inscription,101
Yukon Denali Ultimate,101
MDX Technology,100
Tundra Hybrid TRD Pro,100
335 is,100
AMG GT R,100
Quest SL,100
LX 600 F SPORT,99
TSX 2.4,99
Wrangler Rubicon Hard Rock,99
Silverado 1500 LT Crew Cab,99
Martin V8 Vantage Base,99
Grecale Modena,99
911 Carrera 4,99
Rover Range Rover Evoque R-Dynamic HSE,99
WRX Premium,99
Sierra 2500 Base,99
X6 xDrive40i,98
TT 2.0T Premium,98
488 Spider Base,98
QX60 AUTOGRAPH,98
Stinger GT1,97
Air Grand Touring,97
Gladiator Mojave,97
AMG GLE 43 4MATIC Coupe,97
Eclipse Spyder GS,97
Q70 3.7X,97
Bronco Raptor,97
CX-5 Touring,96
C-HR LE,96
S2000 CR,96
Wrangler Unlimited Rubicon 392,96
Silverado 1500 Limited High Country,96
RX 450h F SPORT Handling,95
Golf SportWagen TSI S 4-Door,95
Silverado 1500 Limited Custom,95
Rover Range Rover Velar R-Dynamic SE,95
RX 350 F SPORT Appearance,95
Telluride EX X-Line,95
Town Car Base,94
Rover Range Rover P400 SE LWB 7 Seat,94
ATS 3.6L Luxury,94
Jetta GLI,94
Macan GTS,94
Mazda6 iSport VE,94
GranTurismo Base,93
1500 TRX,93
RS 5 4.2,93
Impreza WRX STI,93
NX 300 Base,93
TLX w/A-Spec Package,93
RL Technology,92
Tacoma Base,92
RX 450h F Sport Handling,92
Levante Modena,92
Rover Range Rover Velar P380 S,92
Transit-350 XL,92
S-Class S500,91
TL 3.2,91
Expedition King Ranch,91
Ram 2500 ST,91
Rover LR4 HSE,91
Navigator L Select,91
1500 Sport,90
DTS Luxury II,90
Challenger SXT,90
Q5 S line Premium,90
AMG GT Base,89
Envision Preferred,89
Silverado 1500 Base,89
S6 4.0T Premium Plus,89
Silverado 1500 LT Extended Cab,89
GLE 450 GLE 450,88
i8 Base,88
CX-30 Preferred,88
A7 Premium Plus,88
Rover Range Rover Velar P380 SE R-Dynamic,88
K5 GT-Line,87
MX-5 Miata Sport,87
S8 4.0T Plus,87
ES 250 Base,87
Accent GLS,87
Optima Hybrid EX,87
Transit-250 Base,87
SRX Luxury Collection,86
S60 T6 Momentum,86
Crossfire Limited,86
Golf R 4-Door,86
Tahoe RST,86
Model S Long Range,86
RAV4 TRD Off Road,86
Mazda6 Grand Touring Reserve,86
ILX 2.0L w/Premium Package,86
Silverado 1500 Z71 Extended Cab,86
M4 Competition,85
Mustang Mach-E Select,85
TSX Technology,85
Continental GT V8 S,85
Gladiator Willys,85
Sonata Hybrid Limited,85
Supra A91 Edition,85
435 i xDrive,85
Genesis Coupe 3.8 Grand Touring,85
911 Carrera S Cabriolet,85
CTS 3.6L Premium,84
Tacoma SR,84
Marauder Base,84
G37 Journey,84
Sonata GLS,84
RDX PMC Edition,84
Cruze LT,84
Escalade ESV Premium Luxury,84
M5 Competition,84
MKS EcoBoost,84
X5 xDrive35i,84
A7 Premium,84
Express 1500 Cargo,83
Golf Auto TSI S,83
Flex Limited,83
XF Premium,83
Cruze LS,83
AMG G 63 4MATIC,83
Fusion Hybrid Base,83
E-Class E500,82
Mustang SVT Cobra,82
Rover Defender V8,82
Outback 3.6R Touring,82
Camry Solara SE,82
Rover Defender X,82
F-150 Limited,81
G80 3.3T Sport,81
Rover LR3 HSE,81
Outlander Sport ES,81
Outback Limited,81
Impreza Outback Sport Wagon,81
4Runner Sport,81
QX60 Pure,81
Rover LR2 HSE,81
Rover Discovery Sport S R-Dynamic,81
Rover Range Rover Sport SVR,80
Aviator Reserve AWD,80
Silverado 1500 Limited LT Trail Boss,80
Mazda3 i SV,80
Rover Range Rover P525 HSE SWB,80
Murano SV,80
Tundra SR,79
Trailblazer SS,79
ProMaster 2500 Window Van High Roof,79
Genesis 4.6,79
Rover Range Rover Evoque SE,79
S60 R,78
Charger SRT Hellcat Widebody,78
RS 7 4.0T,78
Frontier SE Crew Cab,78
SLK-Class SLK230 Kompressor,78
G90 3.3T Premium,78
BRZ Premium,78
Rover LR2 Base,78
Rover Range Rover 5.0L V8 Supercharged,78
Eurovan MV,78
300M Base,78
Murcielago Base,78
RDX w/A-Spec Package,78
CX-9 Carbon Edition,77
TT 1.8T,77
EQS 450+ Base,77
Durango SRT,77
Cooper S Clubman Base,77
Sonata Sport 2.0T,77
Explorer Sport Trac XLT,77
Odyssey EX-L,77
Silverado 1500 1LZ,76
MDX 3.5L w/Advance & Entertainment Pkgs,76
Golf SportWagen TSI SE,76
Jetta S,76
Rover Range Rover Sport First Edition,76
Yukon SLE,76
Explorer Eddie Bauer,76
AMG C AMG C 63,76
3500 Tradesman,76
Mazda3 FWD w/Premium Package,76
MDX Touring,75
Bolt EUV Premier,75
Bentayga W12 Signature,75
TTS 2.0T Premium Plus,75
e-tron Prestige,75
TLX V6 Tech,75
E350 Super Duty Base,75
Model S Long Range Plus,75
Rover Discovery LSE,75
MKX Black Label,75
F-250 XLT Super Duty,75
CTS Premium,75
TLX PMC Edition,75
Wrangler Sahara Altitude,75
MKX Base,75
Optima Hybrid LX,74
550 i xDrive,74
Charger GT,74
RX 300 Base,74
MKX Reserve,74
Compass Limited,74
Model S Performance,73
Impreza 2.0i Sport,73
Tundra TRD Pro,73
S5 3.0 Premium Plus,73
Mazda3 FWD w/Preferred Package,73
Silverado 1500 Custom Trail Boss,72
Trailblazer LS,72
228 Gran Coupe i xDrive,72
S-Class S 560,72
Jetta SportWagen SE,72
LX 570 Base,72
Terrain SLE,72
718 Boxster Base,72
Gladiator Freedom,72
Sierra 1500 SL Crew Cab,72
QX30 Premium,71
328 xi,71
488 GTB Base,71
Continental GT V8 First Edition,71
XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger,71
MX-5 Miata Shinsen,71
Sorento Plug-In Hybrid SX Prestige,71
ALPINA B7 Base,70
Sorento EX V6,70
1500 Classic SLT,70
Celica GT,70
CC Sport,70
F-PACE SVR,70
S4 3.0T Premium,70
Pathfinder Platinum,70
750 750i xDrive,70
430 i xDrive,70
XK Base,70
C-Class C 300 Luxury,70
Wrangler Unlimited X,70
F-PACE 25t Premium,70
Navigator Premiere,69
Rover Defender 110 SE,69
430 i,69
A4 2.0T Tech Premium,69
Rover Range Rover Sport P400 SE Dynamic,69
A8 L 3.0T,69
Seltos S,69
Suburban 2500 LS,69
Traverse High Country,69
Maverick XLT,69
Blazer Premier,68
Sprinter 3500 High Roof,68
Veloster Base,68
E-Class E 550 4MATIC,68
Camry Hybrid LE,68
GranTurismo Sport,68
Pilot EX,68
S-Class S 450 4MATIC,68
XJ8 L,68
Forester 2.5i Limited,67
Optima SX Turbo,67
640 i,67
Outback 3.6R Limited,67
G35 Sport,67
Malibu LTZ,67
XT6 Sport AWD,67
SL-Class SL 63 AMG,67
Accord Crosstour EX-L,67
Taurus X Limited,67
Matrix XR,66
330 330i xDrive,66
G-Class G 550,66
Sportage SX Turbo,66
Model S 75D,66
M8 Base,66
Charger R/T Scat Pack,66
GranTurismo MC,66
tC Anniversary Edition,66
Martin DBX Base,66
RS 4 4.2 quattro L,65
650 i xDrive,65
Forte GT-Line,65
M4 CS,65
Commander Sport,65
Panamera Platinum Edition,65
Trailblazer RS,65
F-250 LARIAT,65
Legacy 2.5 i Premium,65
Huracan LP580-2,65
911 Carrera 4 GTS,65
X3 M40i,65
Santa Fe Sport 2.0L Turbo Ultimate,65
Express 3500 Base,64
A6 3.0 TDI Premium Plus,64
718 Spyder Base,64
S60 T5 Premier Plus,64
Impreza WRX Sti,64
SLK-Class SLK280 Roadster,64
RX 350 Crafted Line F Sport,63
Routan SE,63
Outlander SEL,62
Mazda6 Signature,62
Eclipse GS,62
X5 xDrive50i,62
E-Class AMG E 53,62
ATS 2.0L Turbo Luxury,62
Silverado 1500 LS,62
570S Base,62
Q3 2.0T Premium Plus,62
Silverado 2500 High Country,62
718 Boxster GTS,62
370Z Base,62
Canyon Elevation Standard,62
XF 25t Prestige,61
Frontier SL,61
Rover Discovery Sport HSE,61
Panamera S,61
Martin Vantage Base,61
Gladiator Sport,61
X5 xDrive40i,61
Cayman GT4,61
Bentayga S,61
XJ Vanden Plas,61
Model X P100D,61
Dakota Big Horn/Lone Star,61
Model X Plaid,61
Maybach S S 600,60
GLA-Class GLA 250 4MATIC,60
Lancer DE,60
Rover Range Rover 3.0L Supercharged,60
428 i xDrive,60
TL Type S,60
370Z NISMO Tech,60
Compass Latitude,60
Charger R/T 392,60
AMG GT AMG GT,59
Ram 1500 SRT-10 Quad Cab,59
M2 CS,59
NV Passenger NV3500 HD SL V8,59
Romeo Stelvio Ti,59
Palisade Calligraphy,59
CR-V Touring,59
Bronco,59
Acadia SLT-2,59
S-10 LS Crew Cab,59
1500 Classic Tradesman,59
Juke SV,59
M440 i,58
430 430i,58
Impreza WRX Base,58
EV6 GT-Line,58
F12berlinetta Base,58
Lancer Evolution MR,58
Highlander LE Plus,58
CX-30 2.5 S Select Package,58
A6 3.2 quattro,58
Impreza WRX Premium,58
Sierra 1500 AT4,58
911 Targa 4 GTS,58
Q5 3.0 TDI Premium Plus,57
640 Gran Coupe i xDrive,57
Grand Cherokee Altitude,57
4Runner Limited Nightshade,57
840 Gran Coupe i xDrive,57
228 i,57
Challenger SRT8 392,57
Pilot Elite,57
A4 2.0T Titanium Premium,56
Pathfinder Silver,56
F-PACE 30t R-Sport,56
LaCrosse CX,56
Colorado LT Crew Cab,56
Sorento EX,56
DeVille Base,56
ILX 2.4L,56
Q70h Base,56
