engine,count
416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,1154
200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,1149
315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,1126
2.0 Liter,1111
333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,1101
379.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,1092
400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,1054
310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,1031
3.0L V6 24V GDI DOHC Twin Turbo,1027
2.0 Liter TFSI,1014
300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,1011
563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,1006
302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,975
320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,974
412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,972
450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,972
300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,961
220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,956
518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,952
460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,939
260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,927
3.5 Liter,923
210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,906
577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,905
440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,905
175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,904
247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,899
310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,897
300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,896
523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,887
835.0HP Electric Motor Electric Fuel System,875
261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,859
455.0HP Electric Motor Electric Fuel System,853
202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,844
400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,836
550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,822
383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,808
140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,808
Electric,808
230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,794
200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,793
469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,767
400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,751
463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,749
385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,737
280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,726
475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,725
400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,720
503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,717
265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,713
335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,698
600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,689
375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,685
3.8L V6 24V GDI DOHC,664
204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,656
335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,649
510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,649
328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,642
355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,639
365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,637
275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,633
291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,627
305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,625
4.4 Liter Twin Turbo,624
188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,618
260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,614
426.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,606
449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,604
227.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,596
280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,594
230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,592
172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,590
350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,587
220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,584
288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,581
201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,574
181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,574
429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,572
410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,571
350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,564
443.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,563
210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,562
349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,549
429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,548
310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,548
4.4L V8 32V GDI DOHC Twin Turbo,545
2.3L I4 16V GDI DOHC Turbo,542
390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,541
670.0HP Electric Motor Electric Fuel System,530
173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,530
617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,526
263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,523
420.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,520
250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,518
190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,512
210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,512
282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,496
403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,494
292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,488
382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,488
335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,487
355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,484
3.0L V6 24V GDI DOHC Turbo,482
4.0L H6 24V GDI DOHC,471
270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,464
236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,460
424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,460
440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,458
152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,453
Electric Motor Electric Fuel System,450
268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,448
382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,446
280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,446
429.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,443
240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,442
325.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,442
345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,440
350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,438
430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,433
395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,430
380.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,427
2.4L I4 16V GDI DOHC,426
239.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,422
400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,418
310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,412
445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,411
325.0HP 6.0L 8 Cylinder Engine Diesel Fuel,407
381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,407
402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,406
182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,402
271.0HP Electric Motor Electric Fuel System,401
335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,401
5.0L V8 32V GDI DOHC Supercharged,400
228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,400
563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,398
2.5L I4 16V PDI DOHC,397
181.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,396
420.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,395
3.0L H6 24V GDI DOHC Twin Turbo,395
475.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,392
329.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,390
305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,386
2.5L I4 16V GDI DOHC Turbo,382
170.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,381
228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,381
2.7L V6 24V PDI DOHC Twin Turbo,381
471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,379
320.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,375
295.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,374
200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,372
354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,369
650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,366
536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,360
265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,359
184.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,358
272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,357
225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,356
420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,354
3.5L V6 24V GDI SOHC,354
577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,353
5.6L V8 32V GDI DOHC,353
437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,352
155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,352
306.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,351
435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,346
310.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,344
170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,343
310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,341
550.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,341
4.0 Liter Twin Turbo,339
295.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,338
5.0L V8 32V PDI DOHC,336
300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,334
5.2L V10 40V GDI DOHC,334
311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,333
3.5 Liter DOHC,333
453.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,332
292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,331
300.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,329
300.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,328
563.0HP Electric Motor Electric Fuel System,326
304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,325
160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,325
310.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,324
600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,323
158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,322
265.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,322
382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,322
5.2L V10 40V PDI DOHC,322
6.7L V12 48V GDI DOHC Twin Turbo,320
2.5L I4 16V PDI DOHC Turbo,319
245.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,319
580.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,316
404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,315
385.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,314
239.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,314
166.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,313
420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,313
360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,310
550.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,309
518.0HP 6.3L 8 Cylinder Engine Gasoline Fuel,307
603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,306
185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,303
707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,302
6.4L V8 16V MPFI OHV,299
385.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,295
560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,293
630.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,293
169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,290
306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,290
3.0 Liter TFSI,290
293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,290
179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,289
340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,287
300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,284
182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,284
170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,281
242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,281
480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,280
202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,279
285.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,278
475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,277
184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,275
575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,274
284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,269
290.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,269
160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,268
310.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,264
542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,262
3.0L I6 24V GDI DOHC Turbo,256
138.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,256
3.6L V6 24V MPFI DOHC Flexible Fuel,255
450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,255
403.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,255
335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,252
4.6L V8 32V MPFI DOHC,252
325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,252
3.6 Liter,251
188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,250
272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,249
6.7L V8 32V DDI OHV Turbo Diesel,249
308.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,248
350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,246
385.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,245
350.0HP 6.4L 8 Cylinder Engine Diesel Fuel,244
248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,243
348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,241
485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,241
416.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,238
562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,235
6.0L W12 48V PDI DOHC Twin Turbo,234
316.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,233
2.0L I4 16V GDI SOHC Turbo,233
265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,232
283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,232
5.0 Liter,231
273.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,231
230.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,231
260.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,229
220.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,227
150.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,227
300.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,224
240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,224
480.0HP Electric Motor Electric Fuel System,222
3.3L V6 24V GDI DOHC,221
235.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,220
260.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,220
4.0 Liter,219
332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,219
118.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,219
355.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,215
2.0L I4 16V MPFI DOHC,215
160.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,214
260.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,214
250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,213
582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,212
526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,212
552.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,212
275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,210
603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,210
180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,209
3.0 Liter DOHC Twin Turbo,208
520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,207
543.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,207
188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,206
305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,205
430.0HP 7.3L 8 Cylinder Engine Gasoline Fuel,204
260.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,204
300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,204
312.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,203
215.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,203
230.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,202
380.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,202
350.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,201
280.0HP 3.2L Flat 6 Cylinder Engine Gasoline Fuel,200
330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,200
Dual Motor - Standard,200
173.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,199
4.0L V6 24V MPFI DOHC,198
540.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,197
330.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,197
315.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,196
321.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,195
1.5L I3 12V PDI DOHC Turbo,195
360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,195
316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,195
245.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,194
641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,194
188.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,193
605.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,193
300.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,192
505.0HP 7.0L 8 Cylinder Engine Gasoline Fuel,191
386.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,189
420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,189
292.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,188
263.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,187
456.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,187
2.0 Liter DOHC Turbo,187
290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,186
325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,186
557.0HP Electric Motor Electric Fuel System,184
278.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,184
246.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,184
534.0HP Electric Motor Electric Fuel System,183
290.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,183
244.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,182
3.5 Liter SOHC,182
122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,180
136.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,180
4.4 Liter,179
199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,178
572.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,178
362.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,177
134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,177
308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,177
3.8L H6 24V GDI DOHC Twin Turbo,176
156.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,175
132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,172
360.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,172
189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,171
6.6L V8 32V DDI OHV Turbo Diesel,169
255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,169
302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,168
6.5L V12 48V MPFI DOHC,168
180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,167
V6,166
2.5L I4 16V,165
275.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,164
120.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,163
300.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,163
208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,162
4.6 Liter,161
191.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,160
150.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,160
425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,158
265.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,158
287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,157
567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,157
302.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,156
760.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,156
290.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,156
414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,155
565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,155
300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,155
3.5L V6 24V MPFI DOHC,155
389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,154
280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,152
281.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,152
275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,151
201.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,150
311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,150
395.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,149
201.0HP 2.5L Flat 6 Cylinder Engine Gasoline Fuel,149
440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,148
217.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,147
3.5L V6 24V GDI DOHC Twin Turbo,147
195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,146
2.0L I4 16V GDI DOHC Turbo Hybrid,146
256.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,146
315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,146
344.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,146
389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,146
172.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,145
400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,145
237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,144
610.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,144
3.0 Liter Twin Turbo,143
235.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,143
405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,143
505.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,143
295.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,141
